;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45
507.00000;978165;289423;198620;164242;498549;127889;580756;625630;290925;246578;303696;384038;476597;342494;493602;295905;290726;486129;250341;591051;335806;515339;383414;417823;219205;418337;546983;452759;300666;247854;513038;182936;316396;152754;337059;376430;289918;427346;391891;458888;135523;223759;459873;315821;285271;573796
506.00000;924211;377658;387413;190529;396871;245065;108731;286090;164031;474405;223837;234557;167419;223554;222228;219879;314149;240490;305840;465111;172444;254959;92660;130474;165221;223887;304362;386750;350590;299771;461898;442380;177759;122216;179556;311179;274410;259289;261541;298426;415282;308019;151327;398599;227329;192911
517.00000;924211;356017;298365;154378;224680;185803;270441;503241;145663;163794;219156;197072;171853;439215;187885;135919;338111;539616;153935;144071;286482;243819;487197;197576;270573;152167;286735;285912;238479;183658;165779;203038;249354;119357;156275;136059;225513;198130;230921;175248;211545;240182;221681;350768;114184;216778
503.00000;924465;274832;154440;481133;301330;146161;453018;399716;393897;210246;393512;314132;245891;314894;473177;162249;116797;470646;177723;260236;89798;117328;165349;226194;315155;395169;357375;302558;455808;244579;114976;274633;276561;430699;213930;205807;198291;241734;170311;219460;218231;210966;178458;318205;272863;257701
515.00000;924465;517145;136457;171383;288813;466764;174990;128116;358572;590379;140595;148439;295110;248940;523267;200782;298611;150673;301622;282274;256958;183654;162232;206922;139155;228241;196080;233130;171156;215367;263199;223895;361247;107564;215805;212149;173293;170376;123422;160177;148723;218919;189634;253810;272239;259911
511.00000;481780;294460;254144;330630;344283;258916;176390;313408;321151;233348;162144;196676;273698;176905;160798;174485;282925;328482;202269;413912;298070;120208;150684;296722;190930;119656;151880;346929;133620;237260;269321;174271;298560;32791;171831;367417;225042;397291;136585;128432;213500;205910;90310;250345;71248;96702
523.00000;2089;317;800;404;478;412;307;427;466;399;378;388;588;431;395;525;530;363;372;511;273;403;452;432;726;343;387;449;207;419;646;413;513;649;555;865;516;598;400;422;331;345;486;415;284;642
524.00000;2206;324;536;837;581;653;458;693;327;827;779;709;453;634;612;529;459;585;678;687;417;381;778;513;340;363;596;642;457;644;518;582;447;493;490;599;421;659;463;587;850;440;473;749;861;567
525.00000;1001;451;314;235;239;319;240;232;212;282;396;337;153;188;147;191;259;232;341;316;234;239;209;167;434;247;150;209;304;194;188;268;246;363;259;180;269;224;133;121;383;274;169;273;159;255
526.00000;2089;658;377;228;255;782;408;133;518;496;495;202;376;294;393;523;932;436;140;252;232;290;407;501;592;349;277;848;269;291;422;253;291;340;242;335;428;318;504;477;318;343;335;254;261;457
519.00000;505;69;237;62;155;82;136;82;133;61;84;102;198;109;145;101;100;125;194;103;236;114;83;108;174;73;65;59;83;94;240;96;102;167;130;213;103;156;168;226;128;78;211;106;96;228
520.00000;532;77;252;351;130;233;222;262;58;233;167;117;283;124;286;146;170;154;228;153;112;180;252;243;163;99;185;163;172;137;220;146;94;272;100;51;93;192;122;122;181;126;130;260;233;207
521.00000;152;84;60;24;36;62;63;58;42;81;53;69;50;29;30;52;78;40;57;61;39;32;86;51;70;56;25;40;89;16;62;98;57;112;24;48;104;67;37;49;66;88;48;50;33;78
522.00000;505;101;80;91;153;155;71;116;105;139;204;98;135;75;125;176;102;93;86;119;90;88;106;104;103;114;91;136;64;70;99;79;53;99;84;93;68;106;106;100;91;88;111;96;74;116
