;CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1528;139;MT;54448;B;20;0;;3.06326;0.80679;0.08034;Cinza;518;;0
1451;131;CN;117988;A;27;0;;3.11909;0.80483;0.08561;Cinza;505;;0
1250;111;CN;88853;C;11;0;;2.39212;0.70901;0.16500;Cinza;505;;0
1455;132;CN;7529;D;29;0;;2.26543;0.62256;0.16620;Cinza;505;;0
1485;135;CN;29776;E;30;0;;2.80865;0.58402;0.21207;Cinza;505;;0
1068;93;CN;85548;D;24;0;;2.96175;0.58267;0.11175;Cinza;505;;0
1426;129;CN;31718;D;28;0;;1.90483;0.48421;0.21286;Cinza;505;;0
1579;144;MT;30436;C;12;0;;1.64692;0.47926;0.18811;Cinza;518;;0
1499;136;MT;63187;D;1;0;;1.86876;0.42930;0.12552;Cinza;518;;0
1142;100;CN;117999;C;3;0;;3.76618;0.41535;0.10709;Cinza;505;;0
1542;140;MT;86432;A;1;0;;1.12267;0.37213;0.26876;Cinza;518;;0
1420;128;CN;89298;A;26;0;;1.02022;0.29761;0.01670;Cinza;505;;0
1440;130;CN;89150;E;22;0;;3.48200;0.29664;0.15617;Cinza;505;;0
1159;102;CN;86521;C;4;0;;1.71979;0.25498;0.14498;Cinza;505;;0
1216;108;CN;60311;E;10;0;;2.79351;0.15609;0.14102;Cinza;505;;0
1281;114;CN;111624;D;12;0;;1.03081;-0.00312;0.01163;Cinza;505;;0
1336;120;CN;19223;B;14;0;;2.06769;-0.11974;0.19742;Cinza;505;;0
1207;107;CN;83609;E;18;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;505;;0
1546;141;MT;23065;C;14;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;518;;0
