;CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
940;81;CH;89147;B;18;0;;3.04427;1.36609;0.23176;Azul;507;;0
768;65;CH;97975;A;1;0;;1.45676;1.36180;0.21595;Azul;507;;0
690;58;CH;88306;B;23;0;;1.78628;1.34891;0.18079;Azul;507;;0
570;47;CH;118054;A;28;0;;2.07127;1.34720;0.07736;Azul;507;;0
657;55;CH;88233;A;15;0;;1.39689;1.31818;0.11442;Azul;507;;0
1724;158;MT;117845;C;11;0;;3.18490;1.31578;0.14485;Azul;515;;0
1191;105;CN;82236;D;22;0;;2.77263;1.28601;0.13618;Azul;503;;0
1664;152;MT;117607;B;16;0;;2.28084;1.24447;0.12125;Azul;515;;0
114;6;LC;86563;B;3;0;;0.92314;1.22467;0.09006;Azul;511;;0
467;38;LC;118028;D;29;0;;2.78473;1.21063;0.13942;Azul;511;;0
920;79;CH;97013;A;24;0;;0.73411;1.20733;0.01008;Azul;507;;0
1940;180;MT;83994;A;4;0;;1.78432;1.16670;0.04550;Azul;515;;0
1435;130;CN;24104;E;3;0;;3.41094;1.15715;0.16829;Azul;503;;0
852;73;CH;88308;C;3;0;;1.40104;1.15692;0.09673;Azul;507;;0
362;28;LC;118278;B;16;0;;2.48291;1.15452;0.08973;Azul;511;;0
1933;179;MT;111518;A;20;0;;1.57287;1.15345;0.11072;Azul;515;;0
1048;91;CN;82364;A;27;0;;2.43167;1.13773;0.22233;Azul;503;;0
737;63;CH;33960;B;14;0;;3.73216;1.13742;0.16303;Azul;507;;0
515;42;LC;118299;D;18;0;;3.76828;1.13537;0.08402;Azul;511;;0
319;25;LC;14169;B;14;0;;3.00635;1.13504;0.10103;Azul;511;;0
1015;88;CH;95648;C;8;0;;2.21046;1.12907;0.18621;Azul;507;;0
559;46;CH;111894;B;27;0;;2.21881;1.10809;0.13721;Azul;507;;0
1474;133;CN;117642;A;2;0;;1.92967;1.07472;0.22014;Azul;503;;0
898;77;CH;118029;B;5;0;;2.63717;1.07054;0.22582;Azul;507;;0
296;22;LC;118306;A;16;0;;2.85223;1.04200;0.12609;Azul;511;;0
427;34;LC;118134;A;26;0;;3.34867;1.04002;0.20217;Azul;511;;0
1032;89;CH;118038;D;26;0;;3.49023;1.02573;0.18725;Azul;507;;0
1167;103;CN;82490;C;19;0;;1.75058;1.02204;0.23374;Azul;503;;0
708;60;CH;84769;E;11;0;;2.20133;1.01836;0.12996;Azul;507;;0
664;56;CH;86934;D;17;0;;0.61655;1.00168;0.04145;Azul;507;;0
1334;119;CN;117890;B;6;0;;1.85268;0.99689;0.12401;Azul;503;;0
171;11;LC;118207;D;11;0;;1.28486;0.98541;0.11899;Azul;511;;0
1299;116;CN;55328;B;15;0;;0.54974;0.97948;0.05877;Azul;503;;0
197;13;LC;90165;B;15;0;;3.81799;0.97593;0.19228;Azul;511;;0
924;80;CH;11601;D;15;0;;1.20499;0.97500;0.14600;Azul;507;;0
161;10;LC;118215;A;2;0;;3.60176;0.95343;0.15078;Azul;511;;0
637;53;CH;118034;B;9;0;;2.89911;0.93429;0.16213;Azul;507;;0
49;3;LC;39016;C;7;0;;3.76151;0.92828;0.14061;Azul;511;1.00000;0
1503;136;MT;117635;E;6;0;;1.84162;0.88644;0.35048;Azul;515;;0
218;15;LC;118174;C;19;0;;3.99087;0.86875;0.18680;Azul;511;;0
1276;114;CN;39290;E;8;0;;2.00073;0.86840;0.16452;Azul;503;;0
1572;143;MT;54448;B;20;0;;3.06326;0.80679;0.08034;Azul;515;;0
1134;99;CN;117988;A;27;0;;3.11909;0.80483;0.08561;Azul;503;;0
17;1;LC;96705;A;8;0;;3.62651;0.79268;0.10430;Azul;511;1.00000;0
724;61;CH;118022;E;26;0;;3.17381;0.77149;0.09188;Azul;507;;0
317;24;LC;89550;C;1;0;;3.10874;0.76811;0.16616;Azul;511;;0
387;31;LC;81992;D;12;0;;3.58061;0.76482;0.09494;Azul;511;;0
248;18;LC;96525;A;28;0;;3.89027;0.76252;0.11963;Azul;511;;0
505;41;LC;118276;C;16;0;;2.59876;0.75076;0.13733;Azul;511;;0
489;40;LC;77356;B;13;0;;3.62272;0.75063;0.23761;Azul;511;;0
1149;101;CN;88853;C;11;0;;2.39212;0.70901;0.16500;Azul;503;;0
801;68;CH;111877;C;10;0;;2.54319;0.68737;0.16087;Azul;507;;0
96;5;LC;48558;D;6;0;;2.74411;0.68157;0.13769;Azul;511;1.00000;0
149;9;LC;118118;A;9;0;;3.00154;0.66248;0.15753;Azul;511;;0
703;59;CH;118033;C;6;0;;3.33353;0.65950;0.32563;Azul;507;;0
33;2;LC;54110;D;7;0;;2.82077;0.63692;0.16707;Azul;511;0.00000;0
363;29;LC;59976;C;30;0;;3.49523;0.62543;0.17905;Azul;511;;0
1135;100;CN;7529;D;29;0;;2.26543;0.62256;0.16620;Azul;503;;0
824;70;CH;118125;E;21;0;;1.14176;0.61713;0.00161;Azul;507;;0
11;1;LC;55166;B;7;0;;2.66039;0.61130;0.19627;Azul;511;0.00000;0
842;72;CH;85139;B;24;0;;2.89534;0.60872;0.22906;Azul;507;;0
1066;93;CN;29776;E;30;0;;2.80865;0.58402;0.21207;Azul;503;;0
1479;134;CN;85548;D;24;0;;2.96175;0.58267;0.11175;Azul;503;;0
964;83;CH;96447;D;20;0;;3.56414;0.51626;0.13663;Azul;507;;0
108;5;LC;118180;E;5;0;;5.61439;0.49582;0.14570;Azul;511;0.00000;0
43;2;LC;118222;B;5;0;;4.32465;0.49170;0.25230;Azul;511;1.00000;0
1107;97;CN;31718;D;28;0;;1.90483;0.48421;0.21286;Azul;503;;0
952;82;CH;84811;A;2;0;;2.78428;0.48121;0.18255;Azul;507;;0
86;4;LC;118167;A;8;0;;2.46330;0.48099;0.09893;Azul;511;1.00000;0
441;36;LC;86932;A;14;0;;0.66090;0.48081;0.02482;Azul;511;;0
1615;148;MT;30436;C;12;0;;1.64692;0.47926;0.18811;Azul;515;;0
522;43;LC;118165;C;4;0;;2.57957;0.47485;0.17883;Azul;511;;0
681;57;CH;118158;C;6;0;;2.22546;0.46653;0.15939;Azul;507;;0
374;30;LC;23833;C;20;0;;3.34117;0.44968;0.20117;Azul;511;;0
777;66;CH;118108;C;22;0;;2.80224;0.44492;0.21353;Azul;507;;0
585;49;CH;66498;C;30;0;;1.31749;0.44063;0.18259;Azul;507;;0
1538;140;MT;63187;D;1;0;;1.86876;0.42930;0.12552;Azul;515;;0
184;12;LC;118170;D;23;0;;1.60663;0.41552;0.00227;Azul;511;;0
1084;94;CN;117999;C;3;0;;3.76618;0.41535;0.10709;Azul;503;;0
45;3;LC;23564;A;6;0;;4.08473;0.41261;0.20536;Azul;511;0.00000;0
1583;144;MT;86432;A;1;0;;1.12267;0.37213;0.26876;Azul;515;;0
69;4;LC;31954;B;8;0;;2.02433;0.34872;0.20967;Azul;511;0.00000;0
877;75;CH;112135;A;27;0;;2.05925;0.34452;0.21848;Azul;507;;0
1003;87;CH;84147;A;25;0;;2.06700;0.32546;0.20034;Azul;507;;0
1291;115;CN;89298;A;26;0;;1.02022;0.29761;0.01670;Azul;503;;0
1122;98;CN;89150;E;22;0;;3.48200;0.29664;0.15617;Azul;503;;0
1102;96;CN;86521;C;4;0;;1.71979;0.25498;0.14498;Azul;503;;0
977;84;CH;96302;B;7;0;;1.13705;0.24894;0.00655;Azul;507;;0
827;71;CH;87057;D;20;0;;1.22262;0.24530;0.17471;Azul;507;;0
398;32;LC;32261;E;24;0;;4.49928;0.23211;0.20659;Azul;511;;0
226;16;LC;76167;D;1;0;;1.82086;0.22830;0.00715;Azul;511;;0
736;62;CH;111844;E;11;0;;2.33881;0.22143;0.04965;Azul;507;;0
268;20;LC;86496;C;30;0;;2.30147;0.21937;0.08452;Azul;511;;0
307;23;LC;118264;E;21;0;;1.88081;0.20842;0.03365;Azul;511;;0
606;51;CH;83820;B;12;0;;2.24266;0.19945;0.14787;Azul;507;;0
349;27;LC;118117;C;10;0;;2.52418;0.19306;0.22915;Azul;511;;0
1370;123;CN;60311;E;10;0;;2.79351;0.15609;0.14102;Azul;503;;0
131;7;LC;118161;C;24;0;;1.77698;0.04697;0.05812;Azul;511;;0
1183;104;CN;111624;D;12;0;;1.03081;-0.00312;0.01163;Azul;503;;0
1205;107;CN;19223;B;14;0;;2.06769;-0.11974;0.19742;Azul;503;;0
451;37;LC;24785;D;28;0;;4.08970;-0.15593;0.18836;Azul;511;;0
620;52;CH;77940;A;16;0;;1.69265;-0.16281;0.19993;Azul;507;;0
436;35;LC;89874;A;10;0;;2.50294;-0.16837;0.05346;Azul;511;;0
141;8;LC;118147;B;23;0;;1.41373;-0.17071;0.01187;Azul;511;;0
259;19;LC;89317;E;28;0;;3.23142;-0.18840;0.16189;Azul;511;;0
233;17;LC;68624;A;30;0;;1.75160;-0.24965;0.17322;Azul;511;;0
749;64;CH;78903;C;11;0;;1.56820;-0.25115;0.00814;Azul;507;;0
416;33;LC;118260;E;15;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;511;;0
582;48;CH;118067;C;29;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;507;;0
1037;90;CH;76955;B;27;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;507;;0
1361;122;CN;83609;E;18;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;503;;0
1585;145;MT;23065;C;14;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;515;;0
