;CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1888;175;MT;42803;C;13;0;;2.30372;1.40103;0.13792;Rosa;517;;0
1293;115;CN;96556;A;21;0;;1.66258;1.37670;0.17468;Rosa;506;;0
984;85;CH;89147;B;18;0;;3.04427;1.36609;0.23176;Rosa;510;;0
897;77;CH;97975;A;1;0;;1.45676;1.36180;0.21595;Rosa;510;;0
1039;90;CH;88306;B;23;0;;1.78628;1.34891;0.18079;Rosa;510;;0
868;74;CH;118054;A;28;0;;2.07127;1.34720;0.07736;Rosa;510;;0
1006;87;CH;88233;A;15;0;;1.39689;1.31818;0.11442;Rosa;510;;0
1804;166;MT;117845;C;11;0;;3.18490;1.31578;0.14485;Rosa;517;;0
1359;122;CN;82236;D;22;0;;2.77263;1.28601;0.13618;Rosa;506;;0
1741;160;MT;117607;B;16;0;;2.28084;1.24447;0.12125;Rosa;517;;0
137;8;LC;86563;B;3;0;;0.92314;1.22467;0.09006;Rosa;513;;0
260;19;LC;118028;D;29;0;;2.78473;1.21063;0.13942;Rosa;513;;0
965;83;CH;97013;A;24;0;;0.73411;1.20733;0.01008;Rosa;510;;0
1510;137;MT;83994;A;4;0;;1.78432;1.16670;0.04550;Rosa;517;;0
1175;104;CN;24104;E;3;0;;3.41094;1.15715;0.16829;Rosa;506;;0
733;62;CH;88308;C;3;0;;1.40104;1.15692;0.09673;Rosa;510;;0
527;43;LC;118278;B;16;0;;2.48291;1.15452;0.08973;Rosa;513;;0
1502;136;MT;111518;A;20;0;;1.57287;1.15345;0.11072;Rosa;517;;0
1110;97;CN;82364;A;27;0;;2.43167;1.13773;0.22233;Rosa;506;;0
572;48;CH;33960;B;14;0;;3.73216;1.13742;0.16303;Rosa;510;;0
186;12;LC;118299;D;18;0;;3.76828;1.13537;0.08402;Rosa;513;;0
484;40;LC;14169;B;14;0;;3.00635;1.13504;0.10103;Rosa;513;;0
820;70;CH;95648;C;8;0;;2.21046;1.12907;0.18621;Rosa;510;;0
856;73;CH;111894;B;27;0;;2.21881;1.10809;0.13721;Rosa;510;;0
1390;125;CN;117642;A;2;0;;1.92967;1.07472;0.22014;Rosa;506;;0
942;81;CH;118029;B;5;0;;2.63717;1.07054;0.22582;Rosa;510;;0
461;37;LC;118306;A;16;0;;2.85223;1.04200;0.12609;Rosa;513;;0
280;21;LC;118134;A;26;0;;3.34867;1.04002;0.20217;Rosa;513;;0
835;71;CH;118038;D;26;0;;3.49023;1.02573;0.18725;Rosa;510;;0
1220;108;CN;82490;C;19;0;;1.75058;1.02204;0.23374;Rosa;506;;0
783;67;CH;84769;E;11;0;;2.20133;1.01836;0.12996;Rosa;510;;0
1013;88;CH;86934;D;17;0;;0.61655;1.00168;0.04145;Rosa;510;;0
1094;95;CN;117890;B;6;0;;1.85268;0.99689;0.12401;Rosa;506;;0
350;27;LC;118207;D;11;0;;1.28486;0.98541;0.11899;Rosa;513;;0
1318;118;CN;55328;B;15;0;;0.54974;0.97948;0.05877;Rosa;506;;0
508;42;LC;90165;B;15;0;;3.81799;0.97593;0.19228;Rosa;513;;0
968;84;CH;11601;D;15;0;;1.20499;0.97500;0.14600;Rosa;510;;0
336;26;LC;118215;A;2;0;;3.60176;0.95343;0.15078;Rosa;513;;0
725;61;CH;118034;B;9;0;;2.89911;0.93429;0.16213;Rosa;510;;0
27;2;LC;39016;C;7;0;;3.76151;0.92828;0.14061;Rosa;513;1.00000;0
1561;142;MT;117635;E;6;0;;1.84162;0.88644;0.35048;Rosa;517;;0
370;29;LC;118174;C;19;0;;3.99087;0.86875;0.18680;Rosa;513;;0
1298;116;CN;39290;E;8;0;;2.00073;0.86840;0.16452;Rosa;506;;0
1648;151;MT;54448;B;20;0;;3.06326;0.80679;0.08034;Rosa;517;;0
1074;93;CN;117988;A;27;0;;3.11909;0.80483;0.08561;Rosa;506;;0
103;5;LC;96705;A;8;0;;3.62651;0.79268;0.10430;Rosa;513;1.00000;0
