;CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1471;133;CN;89772;C;7;0;;0.67587;1.59601;0.02169;Amarela;504;;0
1411;127;CN;81478;B;8;0;;2.37739;1.59193;0.20921;Amarela;504;;0
1434;129;CN;117875;D;1;0;;1.78539;1.58564;0.13602;Amarela;504;;0
469;38;LC;118256;D;17;0;;1.92141;1.54986;0.12387;Amarela;512;;0
1679;154;MT;84409;B;23;0;;1.77601;1.53793;0.14814;Amarela;516;;0
1865;173;MT;8401;D;19;0;;2.25899;1.51757;0.09598;Amarela;516;;0
973;84;CH;87709;C;3;0;;2.06585;1.48052;0.17341;Amarela;508;;0
1843;170;MT;117743;E;19;0;;3.95880;1.47023;0.11919;Amarela;516;;0
709;60;CH;84888;B;15;0;;2.31070;1.45829;0.17477;Amarela;508;;0
1093;95;CN;117836;A;23;0;;1.87838;1.45214;0.07496;Amarela;504;;0
479;39;LC;118235;E;22;0;;1.44895;1.42761;0.14063;Amarela;512;;0
1781;164;MT;117726;D;30;0;;2.31939;1.41653;0.07186;Amarela;516;;0
1827;169;MT;42803;C;13;0;;2.30372;1.40103;0.13792;Amarela;516;;0
1231;109;CN;96556;A;21;0;;1.66258;1.37670;0.17468;Amarela;504;;0
853;73;CH;89147;B;18;0;;3.04427;1.36609;0.23176;Amarela;508;;0
1008;87;CH;97975;A;1;0;;1.45676;1.36180;0.21595;Amarela;508;;0
754;64;CH;88306;B;23;0;;1.78628;1.34891;0.18079;Amarela;508;;0
931;80;CH;118054;A;28;0;;2.07127;1.34720;0.07736;Amarela;508;;0
716;61;CH;88233;A;15;0;;1.39689;1.31818;0.11442;Amarela;508;;0
1764;162;MT;117845;C;11;0;;3.18490;1.31578;0.14485;Amarela;516;;0
1300;116;CN;82236;D;22;0;;2.77263;1.28601;0.13618;Amarela;504;;0
1704;156;MT;117607;B;16;0;;2.28084;1.24447;0.12125;Amarela;516;;0
124;7;LC;86563;B;3;0;;0.92314;1.22467;0.09006;Amarela;512;;0
424;34;LC;118028;D;29;0;;2.78473;1.21063;0.13942;Amarela;512;;0
831;71;CH;97013;A;24;0;;0.73411;1.20733;0.01008;Amarela;508;;0
1574;143;MT;83994;A;4;0;;1.78432;1.16670;0.04550;Amarela;516;;0
1475;134;CN;24104;E;3;0;;3.41094;1.15715;0.16829;Amarela;504;;0
961;83;CH;88308;C;3;0;;1.40104;1.15692;0.09673;Amarela;508;;0
206;14;LC;118278;B;16;0;;2.48291;1.15452;0.08973;Amarela;512;;0
1560;142;MT;111518;A;20;0;;1.57287;1.15345;0.11072;Amarela;516;;0
1079;94;CN;82364;A;27;0;;2.43167;1.13773;0.22233;Amarela;504;;0
682;58;CH;33960;B;14;0;;3.73216;1.13742;0.16303;Amarela;508;;0
338;26;LC;118299;D;18;0;;3.76828;1.13537;0.08402;Amarela;512;;0
187;13;LC;14169;B;14;0;;3.00635;1.13504;0.10103;Amarela;512;;0
887;76;CH;95648;C;8;0;;2.21046;1.12907;0.18621;Amarela;508;;0
921;79;CH;111894;B;27;0;;2.21881;1.10809;0.13721;Amarela;508;;0
1444;130;CN;117642;A;2;0;;1.92967;1.07472;0.22014;Amarela;504;;0
810;69;CH;118029;B;5;0;;2.63717;1.07054;0.22582;Amarela;508;;0
162;10;LC;118306;A;16;0;;2.85223;1.04200;0.12609;Amarela;512;;0
381;30;LC;118134;A;26;0;;3.34867;1.04002;0.20217;Amarela;512;;0
899;77;CH;118038;D;26;0;;3.49023;1.02573;0.18725;Amarela;508;;0
1371;123;CN;82490;C;19;0;;1.75058;1.02204;0.23374;Amarela;504;;0
654;55;CH;84769;E;11;0;;2.20133;1.01836;0.12996;Amarela;508;;0
730;62;CH;86934;D;17;0;;0.61655;1.00168;0.04145;Amarela;508;;0
1141;100;CN;117890;B;6;0;;1.85268;0.99689;0.12401;Amarela;504;;0
250;18;LC;118207;D;11;0;;1.28486;0.98541;0.11899;Amarela;512;;0
1258;112;CN;55328;B;15;0;;0.54974;0.97948;0.05877;Amarela;504;;0
302;23;LC;90165;B;15;0;;3.81799;0.97593;0.19228;Amarela;512;;0
836;72;CH;11601;D;15;0;;1.20499;0.97500;0.14600;Amarela;508;;0
238;17;LC;118215;A;2;0;;3.60176;0.95343;0.15078;Amarela;512;;0
591;49;CH;118034;B;9;0;;2.89911;0.93429;0.16213;Amarela;508;;0
73;4;LC;39016;C;7;0;;3.76151;0.92828;0.14061;Amarela;512;1.00000;0
1533;139;MT;117635;E;6;0;;1.84162;0.88644;0.35048;Amarela;516;;0
536;44;LC;118174;C;19;0;;3.99087;0.86875;0.18680;Amarela;512;;0
1237;110;CN;39290;E;8;0;;2.00073;0.86840;0.16452;Amarela;504;;0
1613;147;MT;54448;B;20;0;;3.06326;0.80679;0.08034;Amarela;516;;0
1184;104;CN;117988;A;27;0;;3.11909;0.80483;0.08561;Amarela;504;;0
57;3;LC;96705;A;8;0;;3.62651;0.79268;0.10430;Amarela;512;1.00000;0
668;56;CH;118022;E;26;0;;3.17381;0.77149;0.09188;Amarela;508;;0
179;12;LC;89550;C;1;0;;3.10874;0.76811;0.16616;Amarela;512;;0
345;27;LC;81992;D;12;0;;3.58061;0.76482;0.09494;Amarela;512;;0
509;42;LC;96525;A;28;0;;3.89027;0.76252;0.11963;Amarela;512;;0
327;25;LC;118276;C;16;0;;2.59876;0.75076;0.13733;Amarela;512;;0
311;24;LC;77356;B;13;0;;3.62272;0.75063;0.23761;Amarela;512;;0
1351;121;CN;88853;C;11;0;;2.39212;0.70901;0.16500;Amarela;504;;0
1042;90;CH;111877;C;10;0;;2.54319;0.68737;0.16087;Amarela;508;;0
30;2;LC;48558;D;6;0;;2.74411;0.68157;0.13769;Amarela;512;1.00000;0
138;8;LC;118118;A;9;0;;3.00154;0.66248;0.15753;Amarela;512;;0
646;54;CH;118033;C;6;0;;3.33353;0.65950;0.32563;Amarela;508;;0
78;4;LC;54110;D;7;0;;2.82077;0.63692;0.16707;Amarela;512;0.00000;0
210;15;LC;59976;C;30;0;;3.49523;0.62543;0.17905;Amarela;512;;0
